,timestamp,p_x,p_y,p_z
0,1403715279.012,1.1352573347858108,2.290682403666573,1.00054201314836
1,1403715279.062,1.1300689299789606,2.296526768033738,1.0003114104166668
2,1403715279.112,1.1485888042875567,2.2934638166472316,1.0123099385520584
3,1403715279.162,1.142459442569142,2.3026593017321195,1.012339326873687
4,1403715279.212,1.1563753679833033,2.314837409521343,1.0158957384816567
5,1403715279.262,1.1556528296717563,2.3130655002879323,1.0078916913452163
6,1403715279.312,1.1564135728471325,2.3144500302097755,1.0031064460715864
7,1403715279.362,1.1603821174952154,2.312086368549492,1.0045712249810241
8,1403715279.412,1.1634614325494204,2.313812998213875,1.0023416978684707
9,1403715279.462,1.1738528335776768,2.3160895708251386,0.9982002976919793
10,1403715279.512,1.1757778742899163,2.3164004552396116,0.9929083361105701
11,1403715279.562,1.1730369931060387,2.3137091891972035,0.9930309261121582
12,1403715279.612,1.1765508710342507,2.309893323788818,0.9950009289658732
13,1403715279.662,1.1794037435337796,2.3186076620929277,1.004874536912988
14,1403715279.712,1.1829878183417404,2.3298211282720653,1.0107103960601154
15,1403715279.762,1.180630391113989,2.312867908511344,1.0083719269401208
16,1403715279.812,1.1802309265256505,2.312386477624692,1.0064861967179701
17,1403715279.862,1.1759380873895726,2.307921934172857,1.0059809714916434
18,1403715279.912,1.186642802154488,2.3051323690312313,1.0248843264499423
19,1403715279.962,1.1901459467848636,2.3048985187544995,1.0352045648749784
20,1403715280.012,1.1852679174474168,2.322996754150617,1.0283041511176565
21,1403715280.062,1.18725452851407,2.3223058665974396,1.0311329406338483
22,1403715280.112,1.1831219338554213,2.317521987211564,1.0244177810780133
23,1403715280.162,1.199293122851746,2.3079987803521513,1.0503209115269803
24,1403715280.212,1.1980309436313892,2.3053944259912047,1.0561302711005234
25,1403715280.262,1.1938140628632212,2.317521431353062,1.0424880392971854
26,1403715280.312,1.208847001985043,2.313863168174429,1.0726010347422776
27,1403715280.362,1.2136476376364835,2.3176678983950367,1.0717593435698716
28,1403715280.412,1.2201494125475567,2.3140040207894104,1.089579221564013
29,1403715280.462,1.2283734924033949,2.324828332079042,1.0897826841717382
30,1403715280.512,1.236568149799148,2.326423167274978,1.081822482381018
31,1403715280.562,1.251678048544122,2.3236383348798118,1.1200442446272452
32,1403715280.612,1.258683835938994,2.3284424469556013,1.1119790427445821
33,1403715280.662,1.267162089864527,2.343116116422867,1.1200753371389975
34,1403715280.712,1.2762055362162905,2.3472343341396487,1.113361868885002
35,1403715280.762,1.2801904414170977,2.343532618501033,1.1241663447298513
36,1403715280.812,1.292949989430346,2.347696825087134,1.1262421732219252
37,1403715280.862,1.3108546317753855,2.3627625656340774,1.1563716143180571
38,1403715280.912,1.3096893127251177,2.3548739065331246,1.1437875565867057
39,1403715280.962,1.326637095995261,2.3742716429443513,1.148423304809582
40,1403715281.012,1.329872241774766,2.361277195278467,1.1413665209879242
41,1403715281.062,1.335588629420222,2.360778483044434,1.1435292126386947
42,1403715281.112,1.348771344595423,2.3714503450298543,1.1408850698629192
43,1403715281.162,1.3599889884297829,2.3808169172431546,1.1628559428055765
44,1403715281.212,1.3596056990594771,2.382011067632018,1.1625506057813513
45,1403715281.262,1.3613994343352167,2.3660086209318743,1.1589450682965168
46,1403715281.312,1.365949182658209,2.3690075399152013,1.162509401562516
47,1403715281.362,1.3897783523738818,2.3912582562690177,1.1633271131787724
48,1403715281.412,1.3974468215932734,2.394133391792507,1.1622533714936758
49,1403715281.462,1.410069573744832,2.397283778814122,1.1599190096287684
50,1403715281.512,1.4060460907111985,2.379562021936872,1.154205819759425
51,1403715281.562,1.4043846460127067,2.3606387915674487,1.1469596116182628
52,1403715281.612,1.4189005603142184,2.3760352421125464,1.1469069037523452
53,1403715281.662,1.4216339405371523,2.374059616856608,1.1482652861895453
54,1403715281.712,1.4594059955982155,2.4033730131780064,1.167249083844114
55,1403715281.762,1.4746208432836323,2.405410876708897,1.158942573616892
56,1403715281.812,1.4807259827000698,2.4019476524063967,1.1612354542271226
57,1403715281.862,1.4977918818735072,2.4017337896783144,1.165602282226234
58,1403715281.912,1.50310107589373,2.4045746759371087,1.1621842662541062
59,1403715281.962,1.5126887777358846,2.406427721778739,1.1562762449608384
60,1403715282.012,1.534575065791776,2.411544239057801,1.1413354992410478
61,1403715282.062,1.5504806787372025,2.4055134659398827,1.1423866173017736
62,1403715282.112,1.5427979172337822,2.392512510013594,1.1246809014663037
63,1403715282.162,1.5625234643302743,2.400546913813093,1.126315837875414
64,1403715282.212,1.5623030938881608,2.4094701655934982,1.1261859079373722
65,1403715282.262,1.5596912083675865,2.397330823334742,1.1235424364399786
66,1403715282.312,1.568702771874694,2.4022615849658697,1.122952937671929
67,1403715282.362,1.5730363454030507,2.396974837511321,1.1204719093047313
68,1403715282.412,1.5730054425646838,2.377526459724297,1.106287704938893
69,1403715282.462,1.6440816500270725,2.414662580657603,1.1137890143052933
70,1403715282.512,1.6468787117616541,2.41051045175791,1.1057478128325453
71,1403715282.562,1.6463278909392165,2.4100798341505114,1.108927160713527
72,1403715282.612,1.6476808599073676,2.4120085113760643,1.110822447800046
73,1403715282.662,1.6899232283625403,2.4230688289673528,1.0814763916730494
74,1403715282.712,1.6938805843968856,2.421163097013496,1.080176257917581
75,1403715282.762,1.6705885540125829,2.3998662680157015,1.0982947771105582
76,1403715282.812,1.6983455923642823,2.4116541090461068,1.0753879474730232
77,1403715282.862,1.715748162215998,2.3923406783857044,1.058478721054574
78,1403715282.912,1.7754384827817111,2.419497469275882,1.0440479100964808
79,1403715282.962,1.7655788091326818,2.4166464175903783,1.0453303579083548
80,1403715283.012,1.789718146486039,2.4097007550442657,1.0308336163688279
81,1403715283.062,1.8012821942063773,2.405212887491613,1.035222273355269
82,1403715283.112,1.8161541581756906,2.4081522489682703,1.0279474483995916
83,1403715283.162,1.863430812625146,2.427171020600061,1.0123030668403072
84,1403715283.212,1.8751719607737107,2.4326948655024863,1.018765486655313
85,1403715283.262,1.8751349865125697,2.424405006707254,1.0138669575262615
86,1403715283.312,1.8783384916173569,2.425227436685021,1.00690998242672
87,1403715283.362,1.9368826405932191,2.434965240454582,0.9963150072787206
88,1403715283.412,1.9384615509731007,2.425450590279382,0.9939905931697598
89,1403715283.462,1.9393496390461102,2.434726228011394,0.9881108441447473
90,1403715283.512,1.9630973575556885,2.4440329238615166,0.9833584947324036
91,1403715283.562,1.9778775679104617,2.4379102132586254,0.9630028604329294
92,1403715283.612,1.9878754253262798,2.444355923841301,0.9624408744614856
93,1403715283.662,1.9949324842695504,2.442772051098774,0.9570931390162983
94,1403715283.712,2.012190238668957,2.4456168865334034,0.9479455004003539
95,1403715283.762,2.0237507054089057,2.443707654072096,0.9487643605542865
96,1403715283.812,2.023201739842887,2.4430363086084705,0.9498286926461446
97,1403715283.862,2.025994149911672,2.4400990251796286,0.9310615234164674
98,1403715283.912,2.030878437520181,2.4476481774733565,0.9329281091161127
99,1403715283.962,2.036630371508161,2.445984431440089,0.9285012536696224
100,1403715284.012,2.0576675526903845,2.440273996491377,0.9206703028823224
101,1403715284.062,2.0784758026845376,2.445145415595954,0.9128116568839101
102,1403715284.112,2.08555574869472,2.4476918868744106,0.9118633139054619
103,1403715284.162,2.0857624778886157,2.4428781367758723,0.9100565289041053
104,1403715284.212,2.104143564263098,2.4430595989266712,0.8995197533789618
